"All","الكل",module,Magento_AdminGws
"None","لا شئ",module,Magento_AdminGws
"Allowed Scopes","النطاقات المسموح بها",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","تحتاج إلى مزيد من الصلاحيات لحذف هذا العنصر (عناصر): %1.",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","تحتاج إلى مزيد من الصلاحيات لتطبيق بعض تحديثات القاعدة.",module,Magento_AdminGws
"Please assign this entity to a store view.","الرجاء ربط هذا الكيان بطريقة عرض متجر.",module,Magento_AdminGws
"You can create orders only in an active store.","يمكنك إنشاء طلبات فقط في المتجر النشط.",module,Magento_AdminGws
"Please assign this item to a store view.","الرجاء ربط هذا العنصر إلى طريقة عرض متجر.",module,Magento_AdminGws
"You need more permissions to save this item.","تحتاج إلى مزيد من الصلاحيات لحفظ هذا العنصر.",module,Magento_AdminGws
"You need more permissions to delete this item.","تحتاج إلى مزيد من الصلاحيات لحذف هذا العنصر.",module,Magento_AdminGws
"You need more permissions to view this item.","تحتاج إلى مزيد من الصلاحيات لعرض هذا العنصر.",module,Magento_AdminGws
"Please specify at least one website or one store group.","الرجاء تحديد موقع واحد على الأقل أو مجموعة متاجر واحدة.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","تحتاج لسماحية اكثر لتعيين كافة النطاقات الى واحد من الادوار.",module,Magento_AdminGws
"Incorrect website ID: %1","معرف الموقع غير صحيح: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","تحتاج لمزيد من الصلاحيات للوصول إلى الموقع ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","معرف المتجر غير صحيح: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","تحتاج إلى مزيد من الصلاحيات لحفظ هذا الإعداد.",module,Magento_AdminGws
"Role Scopes","نطاقات الدور",module,Magento_AdminGws
"Custom","مخصص",module,Magento_AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","ليس لديك الصلاحيات اللازمة لحفظ هذا العنصر في نطاق المتجر الحالي. رجاء، قم بالتبديل إلى المتجر المسموح لك بالتعديل عليه",module,Magento_AdminGws
"More permissions are needed to delete the ""%1"" item.","تحتاج إلى مزيد من الصلاحيات لحذف العنصر ""%1"".",module,Magento_AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","هذا الكيان يحتاج الى ربط مع واجهة المتجر، يرجى التحقق من ربطه ثم المحاولة مره اخرى.",module,Magento_AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","لا يمكن إتمام الطلبات إلا في متجر نشط. تحقق من المتجر وحاول مرة أخرى.",module,Magento_AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","يحتاج المنتج لتعينه مع وجهة المتجر. فعل التعين ثم حاول مره اخرى.",module,Magento_AdminGws
